customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_value,charges_per_month,addon_count,churn_prob,risk_tier
3668-QPYBK,0,0,0,0,2,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Mailed check,53.85,108.15,1,54.08,2,0.66603273,High
9237-HQITU,1,0,0,1,2,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,70.7,151.65,1,75.82,0,0.7364396,High
9305-CDSKC,1,0,0,1,8,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.65,820.5,1,102.56,3,0.78425187,High
7892-POOKP,1,0,1,1,28,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,104.8,3046.05,1,108.79,4,0.3339788,Medium
0280-XJGEX,0,0,0,1,49,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,102.78,4,0.25183746,Low
4190-MFLUW,1,0,1,0,10,1,0,DSL,0,0,1,1,0,0,Month-to-month,0,Credit card (automatic),55.2,528.35,1,52.84,2,0.42284024,Medium
8779-QRDMV,0,1,0,0,1,0,0,DSL,0,0,1,0,0,1,Month-to-month,1,Electronic check,39.65,39.65,1,39.65,2,0.9122508,High
1066-JKSGK,0,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.15,20.15,1,20.15,0,0.60256684,High
6467-CHFZW,0,0,1,1,47,1,1,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,99.35,4749.15,1,101.05,3,0.21264628,Low
8665-UTDHZ,0,0,1,0,1,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.2,30.2,1,30.2,1,0.838815,High
8773-HHUOZ,1,0,0,0,17,1,0,DSL,0,0,0,0,1,1,Month-to-month,1,Mailed check,64.7,1093.1,1,64.3,2,0.48246282,Medium
6047-YHPVI,0,0,0,1,5,1,0,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,69.7,316.9,1,63.38,0,0.63775533,High
5380-WJKOV,0,0,0,1,34,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Electronic check,106.35,3549.25,1,104.39,4,0.2979394,Low
8168-UQWWF,1,0,0,1,11,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,100.49,3,0.6989387,High
7760-OYPDY,1,0,0,1,2,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,80.65,144.15,1,72.08,1,0.7746116,High
9420-LOJKX,1,0,0,1,15,1,0,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Credit card (automatic),99.1,1426.4,1,95.09,4,0.5066219,Medium
7495-OOKFY,1,1,1,1,8,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Credit card (automatic),80.65,633.3,1,79.16,1,0.4513217,Medium
